asctimes	names	levelnames	threadNames	funcNames	linenod	messages
2018-03-12 16:20:33,745	control24d	DEBUG	MainThread	get_computer_mac	160	Computer MAC Address 1c:6f:65:a9:f0:71
2018-03-12 16:20:33,746	control24d	DEBUG	thread_pcap_loop	_start_pcap_loop	393	PCAP filter: (ether dst 1c:6f:65:a9:f0:71 or broadcast) and ether[12:2]=0x885f
2018-03-12 16:20:33,746	control24d	DEBUG	MainThread	main	795	Loop: control24 session: is_capturing:True mp_is_connected:False
2018-03-12 16:20:33,747	control24d	INFO	thread_listener	_manage_listener	449	MP Listener waiting for connection at ('192.168.0.10', 9123)
2018-03-12 16:20:36,392	control24d	DEBUG	thread_pcap_loop	_packet_handler	507	to:BROADCAST v:NUNIT 37
2018-03-12 16:20:36,392	control24d	INFO	thread_pcap_loop	_packet_handler	512	Control24 Broadcast detected from: 00 a0 7e a0 17 fd
2018-03-12 16:20:36,392	control24d	DEBUG	thread_pcap_loop	_send_packet	610	Sending Packet of 31 bytes: 00 A0 7E A0 17 FD 1C 6F 65 A9 F0 71 88 5F 00 10 00 00 00 00 00 01 00 00 00 00 00 00 E2 00 
2018-03-12 16:20:36,393	control24d	DEBUG	thread_pcap_loop	_send_packet	610	Sending Packet of 45 bytes: 00 A0 7E A0 17 FD 1C 6F 65 A9 F0 71 88 5F 00 1F 02 44 00 00 00 02 00 00 00 00 00 00 00 01 F0 13 01 30 19 00 00 00 00 00 00 00 00 00 F7 
2018-03-12 16:20:36,403	control24d	DEBUG	thread_pcap_loop	_packet_handler	534	FROMDESK ACK
2018-03-12 16:20:36,403	control24d	DEBUG	thread_pcap_loop	_packet_handler	507	to:BROADCAST v:NUNIT 37
2018-03-12 16:20:36,404	control24d	DEBUG	thread_pcap_loop	_packet_handler	534	FROMDESK ACK
2018-03-12 16:20:39,747	control24d	DEBUG	MainThread	main	795	Loop: control24 session: is_capturing:True mp_is_connected:False
2018-03-12 16:20:43,007	control24d	DEBUG	thread_pcap_loop	_packet_handler	507	to:BROADCAST v:NUNIT 37
2018-03-12 16:20:45,747	control24d	DEBUG	MainThread	main	795	Loop: control24 session: is_capturing:True mp_is_connected:False
2018-03-12 16:20:46,746	control24d	DEBUG	thread_keepalive	_keepalive	419	TODESK KeepAlive
2018-03-12 16:20:46,747	control24d	DEBUG	thread_keepalive	_send_packet	610	Sending Packet of 31 bytes: 00 A0 7E A0 17 FD 1C 6F 65 A9 F0 71 88 5F 00 00 00 00 00 00 00 00 00 00 00 02 00 00 00 00 00 
2018-03-12 16:20:46,755	control24d	DEBUG	thread_pcap_loop	_packet_handler	534	FROMDESK ACK
2018-03-12 16:20:51,747	control24d	DEBUG	MainThread	main	795	Loop: control24 session: is_capturing:True mp_is_connected:False
2018-03-12 16:20:52,577	control24d	DEBUG	thread_pcap_loop	_packet_handler	507	to:BROADCAST v:NUNIT 37
2018-03-12 16:20:56,747	control24d	DEBUG	thread_keepalive	_keepalive	419	TODESK KeepAlive
2018-03-12 16:20:56,748	control24d	DEBUG	thread_keepalive	_send_packet	610	Sending Packet of 31 bytes: 00 A0 7E A0 17 FD 1C 6F 65 A9 F0 71 88 5F 00 00 00 00 00 00 00 00 00 00 00 02 00 00 00 00 00 
2018-03-12 16:20:56,756	control24d	DEBUG	thread_pcap_loop	_packet_handler	534	FROMDESK ACK
2018-03-12 16:20:57,747	control24d	DEBUG	MainThread	main	795	Loop: control24 session: is_capturing:True mp_is_connected:False
2018-03-12 16:20:58,981	control24d	DEBUG	thread_pcap_loop	_packet_handler	507	to:BROADCAST v:NUNIT 37
2018-03-12 16:21:03,747	control24d	DEBUG	MainThread	main	795	Loop: control24 session: is_capturing:True mp_is_connected:False
2018-03-12 16:21:06,748	control24d	DEBUG	thread_keepalive	_keepalive	419	TODESK KeepAlive
2018-03-12 16:21:06,748	control24d	DEBUG	thread_keepalive	_send_packet	610	Sending Packet of 31 bytes: 00 A0 7E A0 17 FD 1C 6F 65 A9 F0 71 88 5F 00 00 00 00 00 00 00 00 00 00 00 02 00 00 00 00 00 
2018-03-12 16:21:06,757	control24d	DEBUG	thread_pcap_loop	_packet_handler	534	FROMDESK ACK
2018-03-12 16:21:08,110	control24d	DEBUG	thread_pcap_loop	_packet_handler	507	to:BROADCAST v:NUNIT 37
2018-03-12 16:21:09,747	control24d	DEBUG	MainThread	main	795	Loop: control24 session: is_capturing:True mp_is_connected:False
2018-03-12 16:21:11,713	control24d	INFO	thread_listener	_manage_listener	453	MP Listener Received connection from ('192.168.0.10', 51690)
2018-03-12 16:21:13,541	control24d	DEBUG	thread_pcap_loop	_packet_handler	507	to:BROADCAST v:NUNIT 37
2018-03-12 16:21:15,747	control24d	DEBUG	MainThread	main	795	Loop: control24 session: is_capturing:True mp_is_connected:True
2018-03-12 16:21:16,749	control24d	DEBUG	thread_keepalive	_keepalive	419	TODESK KeepAlive
2018-03-12 16:21:16,749	control24d	DEBUG	thread_keepalive	_send_packet	610	Sending Packet of 31 bytes: 00 A0 7E A0 17 FD 1C 6F 65 A9 F0 71 88 5F 00 00 00 00 00 00 00 00 00 00 00 02 00 00 00 00 00 
