asctimes	names	levelnames	threadNames	funcNames	linenod	messages
2018-03-12 16:21:11,710	control24osc	DEBUG	thread_c24_client	_manage_c24_client	1296	Starting MP client connecting to ('192.168.0.10', 9123)
2018-03-12 16:21:11,712	control24osc	DEBUG	thread_osc_listener	_manage_osc_listener	1342	Starting OSC Listener at ('192.168.0.10', 9124)
2018-03-12 16:21:11,712	control24osc	DEBUG	thread_osc_client	_manage_osc_client	1359	Waiting for the OSC listener to get a client None
2018-03-12 16:21:11,713	control24osc	DEBUG	thread_c24_client	_manage_c24_client	1317	MP Client waiting for data: 7
2018-03-12 16:21:15,712	control24osc	DEBUG	thread_osc_client	_manage_osc_client	1359	Waiting for the OSC listener to get a client None
2018-03-12 16:21:17,149	control24osc	DEBUG	thread_c24_client	_desk_to_daw	1216	900946060000000000000000000000000000000000000000000000000000
2018-03-12 16:21:17,150	control24osc	DEBUG	thread_c24_client	_desk_to_daw	1218	nc: 1
2018-03-12 16:21:17,150	control24osc	DEBUG	thread_c24_client	_desk_to_daw	1223	{'addresses': ['/', 'button', '/', 'track', '/', 'Touch', '/', '7'], 'ValueByteMask': 64, 'Value': 1.0, 'address': '/button/track/Touch/7', 'TrackNumber': 6, 'ChildByte': 1, 'TrackByteMask': 31, 'ValueByte': 2, 'CmdClass': 'C24fader', 'ChildByteMatch': 24, 'TrackByte': 2, 'cmdbytes': ['\x90', '\t', 'F', '\x06', '\x00', '\x00', '\x00', '\x00', '\x00', '\x00', '\x00', '\x00', '\x00', '\x00', '\x00', '\x00', '\x00', '\x00', '\x00', '\x00', '\x00', '\x00', '\x00', '\x00', '\x00', '\x00', '\x00', '\x00', '\x00', '\x00'], 'lkpbytes': [144, 0, 9]}
2018-03-12 16:21:17,150	control24osc	DEBUG	thread_c24_client	_manage_c24_client	1317	MP Client waiting for data: 7
2018-03-12 16:21:17,171	control24osc	DEBUG	thread_c24_client	_desk_to_daw	1216	b00600260000000000000000000000000000000000000000000000000000
2018-03-12 16:21:17,171	control24osc	DEBUG	thread_c24_client	_desk_to_daw	1218	nc: 1
